id,source_raw_id,raw_topic,normalized_topic,category,region,trend_score,growth_status,explanation,source_file,processed_at
11333,,aston villa vs liverpool,Aston Villa Vs Liverpool,General,AE,100.0,exploding,Aston Villa Vs Liverpool is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11334,,bangladesh vs pakistan,Bangladesh Vs Pakistan,General,AE,100.0,exploding,Bangladesh Vs Pakistan is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11335,,strait of hormuz,Strait Of Hormuz,General,AE,100.0,exploding,Strait Of Hormuz is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11336,,chennai super kings vs lucknow super giants standings,Chennai Super Kings Vs Lucknow Super Giants Standings,General,AE,100.0,exploding,Chennai Super Kings Vs Lucknow Super Giants Standings is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11337,,കപ്പല്,Unknown,General,AE,100.0,exploding,Unknown is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11338,,eid al adha visa options,Eid Al Adha Visa Options,General,AE,100.0,exploding,Eid Al Adha Visa Options is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11339,,swatch x ap,Swatch X Ap,General,AE,100.0,exploding,Swatch X Ap is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11340,,rupee,Rupee,General,AE,100.0,exploding,Rupee is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11341,,usa vs nep,Usa Vs Nep,General,AE,100.0,exploding,Usa Vs Nep is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11342,,monica elfriede witt,Monica Elfriede Witt,General,AE,100.0,exploding,Monica Elfriede Witt is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11343,,akash singh,Akash Singh,General,AE,100.0,exploding,Akash Singh is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11344,,india uae defence pacts,India Uae Defence Pacts,General,AE,100.0,exploding,India Uae Defence Pacts is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11345,,fa cup,Fa Cup,General,AE,100.0,exploding,Fa Cup is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11346,,donald trump,Donald Trump,General,AE,100.0,exploding,Donald Trump is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11347,,aldar,Aldar,General,AE,100.0,exploding,Aldar is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11348,,timberwolves vs spurs,Timberwolves Vs Spurs,General,AE,100.0,exploding,Timberwolves Vs Spurs is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11349,,missile,Missile,General,AE,100.0,exploding,Missile is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
11350,,jannik sinner,Jannik Sinner,General,AE,100.0,exploding,Jannik Sinner is a General trend in AE with exploding interest.,latest.json,2026-05-16T10:11:45.116961+00:00
